settlement_ref,date,amount,merchant,description
STL1004,2026-08-04,14885.17,Kavya Textiles,Payout ref includes TXN1004 settled
STL1102,2026-11-01,2393.33,sharma electronics.,TXN1095 payout confirmed
STL1023,2026-08-23,15983.96,Ganesh Sweets,TXN1023 payout confirmed
STL1021,2026-08-21,9443.47,Sharma Electronics,TXN1021 payout confirmed
STL1031,2026-08-31,14036.13,Local Mart,Gateway settlement ref 1031
STL1020,2026-08-20,7165.95,Verma Pharmacy,Payout ref includes TXN1020 settled
STL1096-CB,2026-11-06,-5631.83,Sharma Electronics,Chargeback reversal for TXN1090
STL1080,2026-10-17,1867.72,Singh Auto Parts,TXN1078 payout confirmed
STL1053,2026-09-25,17475.11,Local Mart,Payout cycle batch settled
STL1072,2026-10-11,676.18,Kavya Textiles,Funds credited for prior batch cycle
STL1100,2026-10-30,10443.48,OM TRADERS,TXN1093 payout confirmed
STL1111-X,2026-11-16,7177.15,Unknown Merchant Ref,Unmatched incoming credit
STL1014,2026-08-14,20236.07,Nova Fashion Hub,Payout ref includes TXN1014 settled
STL1086-P1,2026-10-20,8138.04,Om Traders,TXN1081 partial payout 1 of 2
STL1032,2026-09-01,4570.04,Ganesh Sweets,Gateway settlement ref 1032
STL1088-P1,2026-10-21,7038.93,Om Traders,TXN1082 partial payout 1 of 2
STL1027,2026-08-27,20598.52,Verma Pharmacy,TXN1027 payout confirmed
STL1046,2026-09-15,20610.46,Ganesh Sweets,Gateway settlement ref 1046
